Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
2;2;6;R1 - Eat grass;4;4;21,0;8,0;8c5f02c8-ad05-472d-9a02-576c591c62d2
2;2;8;R1 - Eat grass;4;4;27,0;55,0;834df528-ca7f-4385-b40f-a8c1103aaad2
2;2;4;R1 - Eat grass;4;4;76,0;27,0;24c1b9bc-f929-4deb-bfec-374a9f22681f
2;2;7;R1 - Eat grass;4;4;7,0;40,0;d7be5543-8612-4055-88c1-24d4e185a525
2;2;9;R1 - Eat grass;4;4;5,0;86,0;12b5cd4f-0a92-47dd-a694-bf09c84537b9
2;2;5;R1 - Eat grass;4;4;39,0;81,0;80688ac6-528c-4435-bfc7-8b77deb503fd
2;2;4;R1 - Eat grass;4;4;17,0;32,0;403449f6-270c-4070-8f81-0737056397c2
2;2;6;R1 - Eat grass;4;4;16,0;31,0;b9d7e2ae-e972-4ead-a519-1986b74d58bd
2;2;6;R1 - Eat grass;4;4;48,0;98,0;3279d36f-77da-4dd5-be3f-ab7330e9f9f6
2;2;4;R1 - Eat grass;4;4;13,0;81,0;53dd8d0e-c6a4-463c-af43-a45abf2dc4a6
2;2;7;R1 - Eat grass;4;4;3,0;39,0;7abdd563-9dc6-4399-8ce0-85ce9fc74825
2;2;5;R1 - Eat grass;4;4;65,0;93,0;c901d9d6-859c-44b2-a26e-06a35ced2333
2;2;6;R1 - Eat grass;4;4;56,0;52,0;880dcdbb-191b-45a3-a1f3-54ac3d03963a
2;2;6;R1 - Eat grass;4;4;24,0;4,0;1c8085b6-4646-4ed2-9a18-1cab5c75021b
2;2;9;R1 - Eat grass;4;4;81,0;25,0;c1cf9e22-39ba-40ab-8d2b-86123a1d5b17
2;2;8;R1 - Eat grass;4;4;16,0;84,0;4bed0f9b-4367-4a1a-a1c3-a9267f3ebd5d
2;2;4;R1 - Eat grass;4;4;61,0;59,0;3b1988e5-d7b8-48ea-a60a-34897609f3b8
2;2;8;R1 - Eat grass;4;4;65,0;17,0;5877307a-f1d0-4e24-8395-136d3812e3f1
2;2;7;R1 - Eat grass;4;4;78,0;25,0;88313d31-135d-47a7-aff7-3c27ac164f8a
2;2;8;R1 - Eat grass;4;4;42,0;9,0;c109bdf7-1128-469a-b0ff-afdc86389edd
2;2;5;R1 - Eat grass;4;4;80,0;16,0;c00e0e84-59c7-488f-bc3e-cc6dd7afc3d7
2;2;7;R1 - Eat grass;4;4;42,0;83,0;1a4384e1-4b37-4001-888b-9b01d5fed6d6
2;2;5;R1 - Eat grass;4;4;63,0;62,0;d562af7c-ee4e-4607-9a38-1bfd3a075c0d
2;2;4;R1 - Eat grass;4;4;2,0;2,0;3817e3da-652c-4cb2-a61e-5f97b5531578
